time_identifier,time_period,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,school_type,num_schools,headcount,perm_excl,perm_excl_rate,suspension,susp_rate,one_plus_susp,one_plus_susp_rate
Academic year,200607,Local authority,E92000001,England,E12000008,South East,845,E10000011,East Sussex,special,13,1035,0,0,305,29.4686,131,12.657
Academic year,200607,Local authority,E92000001,England,E12000008,South East,850,E10000014,Hampshire,Total,528,170296,168,0.09865,11700,6.87039,5800,3.40583
Academic year,200607,Local authority,E92000001,England,E12000008,South East,867,E06000036,Bracknell Forest,Total,37,15176,26,0.17132,703,4.63231,358,2.35899
Academic year,200607,Local authority,E92000001,England,E12000008,South East,868,E06000040,Windsor and Maidenhead,special,2,195,2,1.02564,26,13.33333,11,5.64103
Academic year,200607,Local authority,E92000001,England,E12000008,South East,868,E06000040,Windsor and Maidenhead,state-funded secondary,13,10197,35,0.34324,736,7.21781,470,4.6092
Academic year,200607,Local authority,E92000001,England,E12000008,South East,872,E06000041,Wokingham,special,3,301,7,2.32558,102,33.88704,60,19.93355
Academic year,200607,Local authority,E92000001,England,E12000008,South East,886,E10000016,Kent,state-funded secondary,109,101116,308,0.3046,12851,12.70917,6839,6.76352
Academic year,200607,Regional,E92000001,England,E12000002,North West,,,,Total,3204,1054864,1240,0.11755,58657,5.56062,31505,2.98664
Academic year,200607,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,special,90,7668,9,0.11737,1188,15.49296,446,5.81638
Academic year,200607,Regional,E92000001,England,E12000005,West Midlands,,,,state-funded secondary,420,374165,913,0.24401,38063,10.17278,22142,5.91771
Academic year,200607,Regional,E92000001,England,E12000006,East of England,,,,Total,2583,834339,814,0.09756,44877,5.37875,23771,2.84908
Academic year,200607,Regional,E92000001,England,E12000001,North East,,,,state-funded primary,919,208554,42,0.02014,1588,0.76143,868,0.4162
Academic year,200607,Regional,E92000001,England,E12000002,North West,,,,state-funded secondary,473,456076,1102,0.24163,50548,11.08324,27606,6.05294
Academic year,200607,Regional,E92000001,England,E12000009,South West,,,,state-funded primary,1941,373581,107,0.02864,4751,1.27175,2376,0.63601
Academic year,200607,Regional,E92000001,England,E12000001,North East,,,,state-funded secondary,210,177604,369,0.20777,15862,8.93111,8875,4.99707
Academic year,200607,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,state-funded secondary,325,344739,582,0.16882,45332,13.14966,22693,6.58266
Academic year,200607,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,Total,2289,790184,671,0.08492,51414,6.50659,25558,3.23444
Academic year,200607,Regional,E92000001,England,E12000004,East Midlands,,,,state-funded secondary,303,299671,753,0.25128,29143,9.725,16139,5.38557
Academic year,200607,Regional,E92000001,England,E12000005,West Midlands,,,,special,125,12408,13,0.10477,2086,16.81173,879,7.08414
Academic year,200607,Regional,E92000001,England,E12000008,South East,,,,state-funded secondary,510,515935,1183,0.22929,65368,12.66981,33347,6.46341
Academic year,200607,Regional,E92000001,England,E12000008,South East,,,,Total,3375,1155154,1368,0.11843,75780,6.56016,38264,3.31246
Academic year,200607,Regional,E92000001,England,E12000009,South West,,,,state-funded secondary,326,326465,657,0.20125,35859,10.98403,18458,5.6539
Academic year,200607,Regional,E92000001,England,E13000001,Inner London,,,,Total,901,368301,480,0.13033,18987,5.15529,11522,3.12842
Academic year,200607,Regional,E92000001,England,E13000002,Outer London,,,,state-funded primary,1130,399261,70,0.01753,3752,0.93974,2149,0.53824
Academic year,200607,Regional,E92000001,England,E13000002,Outer London,,,,state-funded secondary,280,305094,853,0.27959,29031,9.51543,17516,5.74118
Academic year,200607,Local authority,E92000001,England,E12000001,North East,394,E08000024,Sunderland,state-funded primary,83,23729,4,0.01686,240,1.01142,144,0.60685
Academic year,200607,Local authority,E92000001,England,E12000001,North East,806,E06000002,Middlesbrough,Total,55,23210,41,0.17665,1524,6.56614,784,3.37785
Academic year,200607,Local authority,E92000001,England,E12000001,North East,807,E06000003,Redcar and Cleveland,Total,59,23072,26,0.11269,1214,5.26179,672,2.91262
Academic year,200607,Local authority,E92000001,England,E12000001,North East,808,E06000004,Stockton-on-Tees,Total,80,30017,10,0.03331,1190,3.96442,707,2.35533
Academic year,200607,Local authority,E92000001,England,E12000001,North East,840,E06000047,County Durham,state-funded primary,237,40734,19,0.04664,482,1.18329,257,0.63092
Academic year,200607,Local authority,E92000001,England,E12000001,North East,929,E06000048,Northumberland,special,9,457,0,0,90,19.69365,42,9.19037
Academic year,200607,Local authority,E92000001,England,E12000002,North West,341,E08000012,Liverpool,Total,181,70386,72,0.10229,2418,3.43534,1586,2.25329
Academic year,200607,Local authority,E92000001,England,E12000002,North West,342,E08000013,St. Helens,special,4,363,0,0,12,3.30579,9,2.47934
Academic year,200607,Local authority,E92000001,England,E12000002,North West,344,E08000015,Wirral,special,12,1030,0,0,192,18.64078,78,7.57282
Academic year,200607,Local authority,E92000001,England,E12000002,North West,350,E08000001,Bolton,Total,121,44933,33,0.07344,2935,6.53195,1390,3.09349
Academic year,200607,Local authority,E92000001,England,E12000002,North West,351,E08000002,Bury,state-funded primary,63,16058,4,0.02491,95,0.59161,56,0.34874
Academic year,200607,Local authority,E92000001,England,E12000002,North West,354,E08000005,Rochdale,Total,92,33533,55,0.16402,1998,5.95831,1128,3.36385
Academic year,200607,Local authority,E92000001,England,E12000002,North West,357,E08000008,Tameside,special,5,381,0,0,175,45.93176,54,14.17323
Academic year,200607,Local authority,E92000001,England,E12000002,North West,358,E08000009,Trafford,special,6,444,0,0,85,19.14414,29,6.53153
Academic year,200607,Local authority,E92000001,England,E12000002,North West,875,x,Cheshire,state-funded primary,275,53381,10,0.01873,581,1.0884,268,0.50205
Academic year,200607,Local authority,E92000001,England,E12000002,North West,877,E06000007,Warrington,special,4,357,2,0.56022,141,39.4958,53,14.84594
Academic year,200607,Local authority,E92000001,England,E12000002,North West,888,E10000017,Lancashire,state-funded secondary,85,73216,240,0.3278,8069,11.02082,4582,6.25819
Academic year,200607,Local authority,E92000001,England,E12000002,North West,888,E10000017,Lancashire,Total,603,167162,267,0.15973,9318,5.57423,5196,3.10836
